コード,名称
150138310,心筋縫合止血術（外傷性）
150138410,心膜切開術
150138510,心膜嚢胞、心膜腫瘍切除術
150359210,胸腔鏡下心膜開窓術
150138710,収縮性心膜炎手術
150140510,試験開心術
150140610,心腔内異物除去術
150140710,心房内血栓除去術
150140810,心腫瘍摘出術（単独）
150318010,心腔内粘液腫摘出術（単独）
150317810,心腫瘍摘出術（冠動脈血行再建術（１吻合）を伴う）
150318110,心腔内粘液腫摘出術（冠動脈血行再建術（１吻合）を伴う）
150317910,心腫瘍摘出術（冠動脈血行再建術（２吻合以上））
150318210,心腔内粘液腫摘出術（冠動脈血行再建術（２吻合以上））
150140010,開胸心臓マッサージ
150284310,経皮的冠動脈形成術（高速回転式経皮経管アテレクトミーカテーテル）
150359310,経皮的冠動脈形成術（エキシマレーザー血管形成用カテーテル）
150145710,冠動脈形成術（血栓内膜摘除）（１箇所）
150145810,冠動脈形成術（血栓内膜摘除）（２箇所以上）
150145910,冠動脈、大動脈バイパス移植術（１吻合）
150146010,冠動脈、大動脈バイパス移植術（２吻合以上）
150302770,冠動脈形成術（血栓内膜摘除）併施加算
150318410,冠動脈、大動脈バイパス移植術（人工心肺不使用）（１吻合）
150318510,冠動脈、大動脈バイパス移植術（人工心肺不使用）（２吻合以上）
150143010,心室瘤切除術（単独）
150143110,心室瘤切除術（冠動脈血行再建術（１吻合）を伴う）
150318610,心室瘤切除術（冠動脈血行再建術（２吻合以上）を伴う）
150318710,左室形成術（単独）
150319010,心室中隔穿孔閉鎖術（単独）
150319310,左室自由壁破裂修復術（単独）
150318810,左室形成術（冠動脈血行再建術（１吻合）を伴う）
150319110,心室中隔穿孔閉鎖術（冠動脈血行再建術（１吻合）を伴う）
150319410,左室自由壁破裂修復術（冠動脈血行再建術（１吻合）を伴う）
150318910,左室形成術（冠動脈血行再建術（２吻合以上）を伴う）
150319210,心室中隔穿孔閉鎖術（冠動脈血行再建術（２吻合以上）を伴う）
150319510,左室自由壁破裂修復術（冠動脈血行再建術（２吻合以上）を伴う）
150141010,弁形成術（１弁）
150279510,弁形成術（２弁）
150279610,弁形成術（３弁）
150399710,胸腔鏡下弁形成術（１弁）
150406410,胸腔鏡下弁形成術（１弁）（内視鏡手術用支援機器使用）
150399810,胸腔鏡下弁形成術（２弁）
150406510,胸腔鏡下弁形成術（２弁）（内視鏡手術用支援機器使用）
150141410,弁置換術（１弁）
150141610,弁置換術（２弁）
150141710,弁置換術（３弁）
150387210,経カテーテル大動脈弁置換術（経心尖大動脈弁置換術）
150387310,経カテーテル大動脈弁置換術（経皮的大動脈弁置換術）
150423850,経カテーテル肺動脈弁置換術
150399910,胸腔鏡下弁置換術（１弁）
150400010,胸腔鏡下弁置換術（２弁）
150143610,大動脈弁狭窄直視下切開術
150260050,経皮的大動脈弁拡張術
150143710,大動脈弁上狭窄手術
150143810,大動脈弁下狭窄切除術（線維性、筋肥厚性を含む）
150141510,弁輪拡大術を伴う大動脈弁置換術
150375570,心臓弁再置換術加算（弁輪拡大術を伴う大動脈弁置換術）（１弁）
150375670,心臓弁再置換術加算（弁輪拡大術を伴う大動脈弁置換術）（２弁）
150375770,心臓弁再置換術加算（弁輪拡大術を伴う大動脈弁置換術）（３弁）
150319610,ＤＫＳ吻合を伴う大動脈狭窄症手術
150292910,ロス手術（自己肺動脈弁組織による大動脈基部置換術）
150139310,閉鎖式僧帽弁交連切開術
150242550,経皮的僧帽弁拡張術
150400310,経皮的僧帽弁クリップ術
150244910,大動脈瘤切除術（上行）（弁置換術又は形成術）
150245010,大動脈瘤切除術（上行）（その他）
150359510,大動脈瘤切除術（上行）（人工弁置換を伴う基部置換術）
150359610,大動脈瘤切除術（上行）（自己弁温存型基部置換術）
150150010,大動脈瘤切除術（弓部）
150275910,大動脈瘤切除術（上行・弓部同時）（その他）
150359710,大動脈瘤切除術（上行・弓部同時）（弁置換術又は形成術）
150359810,大動脈瘤切除術（上行・弓部同時）（人工弁置換を伴う基部置換術）
150359910,大動脈瘤切除術（上行・弓部同時）（自己弁温存型基部置換術）
150150110,大動脈瘤切除術（下行）
150264810,大動脈瘤切除術（胸腹部大動脈）
150245110,大動脈瘤切除術（腹部大動脈（分枝血管の再建））
150245210,大動脈瘤切除術（腹部大動脈（その他））
150375870,心臓弁再置換術加算（大動脈瘤切除術（吻合又は移植含む））（１弁）
150375970,心臓弁再置換術加算（大動脈瘤切除術（吻合又は移植含む））（２弁）
150376070,心臓弁再置換術加算（大動脈瘤切除術（吻合又は移植含む））（３弁）
150381550,オープン型ステントグラフト内挿術（弓部）
150381650,オープン型ステントグラフト内挿術（上行・弓部同時、弁置換・形成）
150381750,オープン型ステントグラフト内挿術（上行・弓部同時、弁・基部置換）
150381850,オープン型ステントグラフト内挿術（上行・弓部同時、弁温存置換術）
150381950,オープン型ステントグラフト内挿術（上行・弓部同時、その他）
150382050,オープン型ステントグラフト内挿術（下行）
150400410,ステントグラフト内挿術（血管損傷）
150301310,ステントグラフト内挿術（胸部大動脈）
150301410,ステントグラフト内挿術（腹部大動脈）
150301510,ステントグラフト内挿術（腸骨動脈）
150319710,動脈管開存症手術（経皮的動脈管開存閉鎖術）
150151810,動脈管開存症手術（動脈管開存閉鎖術（直視下））
150376110,胸腔鏡下動脈管開存閉鎖術
150139110,肺動脈絞扼術
150319810,血管輪又は重複大動脈弓離断手術
150319910,巨大側副血管手術（肺内肺動脈統合術）
150138810,体動脈肺動脈短絡手術（ブラロック手術、ウォーターストン手術）
150151910,大動脈縮窄（離断）症手術（単独）
150320010,大動脈縮窄（離断）症手術（心室中隔欠損症手術を伴う）
150320110,大動脈縮窄（離断）症手術（複雑心奇形手術を伴う）
150144110,大動脈肺動脈中隔欠損症手術（単独）
150320210,大動脈肺動脈中隔欠損症手術（心内奇形手術を伴う）
150320310,三尖弁手術（エプスタイン氏奇形、ウール氏病手術）
150139410,肺動脈狭窄症手術（肺動脈弁切開術（単独））
150320410,純型肺動脈弁閉鎖症手術（肺動脈弁切開術（単独））
150142910,肺動脈狭窄症手術（右室流出路形成又は肺動脈形成を伴う）
150320510,純型肺動脈弁閉鎖症手術（右室流出路形成又は肺動脈形成を伴う）
150260150,経皮的肺動脈弁拡張術
150346510,経皮的肺動脈形成術
150414910,経皮的肺動脈穿通・拡大術
150145110,肺静脈還流異常症手術（部分肺静脈還流異常）
150376210,肺静脈還流異常症手術（総肺静脈還流異常）（心臓型）
150376310,肺静脈還流異常症手術（総肺静脈還流異常）（その他）
150144910,肺静脈形成術
150139610,心房中隔欠損作成術（経皮的心房中隔欠損作成術（ラシュキンド法））
150142410,心房中隔欠損作成術（心房中隔欠損作成術）
150141810,心房中隔欠損閉鎖術（単独）
150141910,心房中隔欠損閉鎖術（肺動脈弁狭窄を合併する）
150320610,経皮的心房中隔欠損閉鎖術
150411050,経皮的卵円孔開存閉鎖術
150142050,三心房心手術
150142110,心室中隔欠損閉鎖術（単独）
150142210,心室中隔欠損閉鎖術（肺動脈絞扼術後肺動脈形成を伴う）
150142310,心室中隔欠損閉鎖術（大動脈弁形成を伴う）
150142810,心室中隔欠損閉鎖術（右室流出路形成を伴う）
150144010,バルサルバ洞動脈瘤手術（単独）
150320710,バルサルバ洞動脈瘤手術（大動脈閉鎖不全症手術を伴う）
150144550,右室二腔症手術
150147410,不完全型房室中隔欠損症手術（心房中隔欠損パッチ閉鎖術（単独））
150147510,不完全型房室中隔欠損症手術（心房中隔欠損パッチ閉鎖及び弁形成術）
150320810,完全型房室中隔欠損症手術（心房及び心室中隔欠損パッチ閉鎖術）
150320910,完全型房室中隔欠損症手術（ファロー四徴症手術を伴う）
150146510,ファロー四徴症手術（右室流出路形成術を伴う）
150146610,ファロー四徴症手術（末梢肺動脈形成術を伴う）
150321010,肺動脈閉鎖症手術（単独）
150321110,肺動脈閉鎖症手術（ラステリ手術を伴う）
150321210,肺動脈閉鎖症手術（巨大側副血管術を伴う）
150376470,人工血管等再置換術加算（肺動脈閉鎖症手術）
150146910,両大血管右室起始症手術（単独）
150146810,両大血管右室起始症手術（右室流出路形成を伴う）
150321310,両大血管右室起始症手術（タウシッヒ・ビング奇形手術）
150142510,大血管転位症手術（マスタード・セニング手術）
150145310,大血管転位症手術（ジャテーン手術）
150139510,大血管転位症手術（心室中隔欠損閉鎖術を伴う）
150147010,大血管転位症手術（ラステリ手術を伴う）
150376570,人工血管等再置換術加算（大血管転位症手術）
150321410,修正大血管転位症手術（心室中隔欠損パッチ閉鎖術）
150321510,修正大血管転位症手術（根治手術（ダブルスイッチ手術））
150376670,人工血管等再置換術加算（修正大血管転位症手術）
150147310,総動脈幹症手術
150141310,三尖弁閉鎖症手術（両方向性グレン手術）
150321810,単心室症手術（両方向性グレン手術）
