コード,名称
高血圧性心疾患,
狭心症,
心筋梗塞,
心不全,
急性虚血性心疾患,
慢性虚血性心疾患,
急性腎炎,
慢性腎炎,
腎不全,
糖尿病性腎症,
ネフローゼ症候群,
急性腎不全,
慢性腎不全,
高カリウム血症,
急性肝炎,
慢性肝炎,
肝硬変,
閉塞性黄疸,
肝性脳症,
ウィルソン病,
肝不全,
アルコール性肝疾患,
肝硬化症,
脂肪肝,
中毒性肝疾患,
肝繊維症,
肝腎症候群,
糖尿病,
胃潰瘍,
十二指腸潰瘍,
潰瘍性大腸炎,
クローン病,
消化性潰瘍,
ｎｓａｉｄｓ潰瘍,
鉄欠乏性貧血,
急性膵炎,
慢性膵炎,
胆管炎,
胆管穿孔,
胆管閉塞,
胆のう胞,
脂質異常症,
高コレステロール血症,
痛風,
難治性てんかん,
グルコーストランスポーター１欠損症,
ミトコンドリア脳筋症,
フェニルケトン尿症,
メープルシロップ尿症,
ホモシスチン尿症,
ガラクトース血症,
大腸ポリペクトミー手術,
