コード,名称,メモ
150196610,経尿道的尿路結石除去術（その他）,2026年3月追加
150365010,経尿道的尿路結石除去術（レーザー）,2026年3月追加
150216510,子宮頸部（腟部）切除術,2026年3月追加
150303910,経尿道的尿管ステント留置術,2026年3月追加
150276510,経尿道的レーザー前立腺切除・蒸散術（その他）,2026年3月追加
150365710,経尿道的レーザー前立腺切除・蒸散術（ホルミウムレーザー等使用）,2026年3月追加
150431110,経尿道的レーザー前立腺切除・蒸散術（ツリウムレーザーを用いる）,2026年3月追加
