コード,名称
4029010,高血圧性心疾患
4139007,狭心症
8834919,心筋梗塞
4289015,心不全
8832330,急性虚血性心疾患
8835642,腎不全
2503005,糖尿病性腎症
5819004,ネフローゼ症候群
5849003,急性腎不全
5859002,慢性腎不全
2767001,高カリウム血症
0701005,急性肝炎
5714005,慢性肝炎
5768014,閉塞性黄疸
5722003,肝性脳症
5738014,肝不全
8830334,アルコール性肝疾患
8831511,肝硬化症
5718008,脂肪肝
8831588,肝腎症候群
2500013,糖尿病
5319009,胃潰瘍
5329002,十二指腸潰瘍
5569003,潰瘍性大腸炎
5559001,クローン病
8849860,ｎｓａｉｄｓ潰瘍
2809009,鉄欠乏性貧血
5770019,急性膵炎
5771004,慢性膵炎
5751001,胆管炎
5763001,胆管穿孔
8837192,胆のう胞
8844446,脂質異常症
2720004,高コレステロール血症
2749004,痛風
3458025,難治性てんかん
8848499,グルコーストランスポーター１欠損症
8841410,ミトコンドリア脳筋症
8839619,フェニルケトン尿症
2703002,メープルシロップ尿症
2704002,ホモシスチン尿症
2711001,ガラクトース血症
