コード,名称
妊娠高血圧,
切迫早産,
双胎,
多胎,
妊娠糖尿病,
甲状腺機能低下症,
甲状腺機能亢進症,
パセドウ病,
白血病,
血友病,
突発性血小板減少性紫斑病,
ｈｉｖ感染,
