コード,名称
140009310,人工呼吸
140009550,人工呼吸（閉鎖循環式麻酔装置）
140009750,人工呼吸（半閉鎖式循環麻酔器）
140023510,人工呼吸（５時間超）
140023750,人工呼吸（閉鎖循環式麻酔装置）（５時間超）
140023950,人工呼吸（半閉鎖式循環麻酔器）（５時間超）
140039550,人工呼吸（鼻マスク式人工呼吸器）
140039650,人工呼吸（鼻マスク式人工呼吸器）（５時間超）
140009010,救命のための気管内挿管
140029850,持続緩徐式血液濾過
140007710,人工腎臓（その他）
