登録キーワード,統合キーワード
全身麻酔,全身麻酔
全麻,全身麻酔
側臥位,側臥位
腹腔鏡,腹腔鏡
レミフェンタニール,レミフェンタニール
レミフェンタニル,レミフェンタニール
アルチバ静注用2ｍｇ,レミフェンタニール
アルチバ静注用5ｍｇ,レミフェンタニール
セボフレン吸入麻酔液,セボフルラン
セボフルラン吸入麻酔液,セボフルラン
セボフレン,セボフルラン
セボフルラン,セボフルラン
笑気ガス,笑気ガス
笑気,笑気ガス
液化亜酸化窒素,笑気ガス
亜酸化窒素,笑気ガス
アネスタ,笑気ガス
フォーレン吸入麻酔液,イソフルラン
フォーレン,イソフルラン
イソフルラン,イソフルラン
スープレン吸入麻酔液,デスフルラン
スープレン,デスフルラン
デスフルラン,デスフルラン
